<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNJ.US,5,20240529,160500,145.12,145.14,144.7083,144.77,34793,0
JNJ.US,5,20240529,161000,144.755,144.95,144.6439,144.685,55494,0
JNJ.US,5,20240529,161500,144.685,144.69,144.37,144.4617,100199,0
JNJ.US,5,20240529,162000,144.46,144.63,144.4,144.53,30576,0
JNJ.US,5,20240529,162500,144.51,144.68,144.45,144.665,43481,0
JNJ.US,5,20240529,163000,144.685,144.685,144.33,144.36,44135,0
JNJ.US,5,20240529,163500,144.37,144.65,144.35,144.62,35150,0
JNJ.US,5,20240529,164000,144.6135,144.64,144.39,144.48,28214,0
JNJ.US,5,20240529,164500,144.48,144.7,144.46,144.63,25722,0
JNJ.US,5,20240529,165000,144.615,144.62,144.26,144.33,25478,0
JNJ.US,5,20240529,165500,144.29,144.45,144.28,144.42,26661,0
JNJ.US,5,20240529,170000,144.43,144.46,144.34,144.44,30794,0
JNJ.US,5,20240529,170500,144.45,144.64,144.4001,144.62,17168,0
JNJ.US,5,20240529,171000,144.61,144.61,144.36,144.43,55124,0
JNJ.US,5,20240529,171500,144.41,144.615,144.41,144.55,20954,0
JNJ.US,5,20240529,172000,144.5717,144.605,144.39,144.44,38142,0
JNJ.US,5,20240529,172500,144.45,144.495,144.42,144.45,18362,0
JNJ.US,5,20240529,173000,144.46,144.79,144.46,144.69,33753,0
JNJ.US,5,20240529,173500,144.68,144.76,144.66,144.71,20667,0
JNJ.US,5,20240529,174000,144.72,144.75,144.63,144.67,27866,0
JNJ.US,5,20240529,174500,144.68,144.7,144.62,144.65,25807,0
JNJ.US,5,20240529,175000,144.65,144.6561,144.51,144.6,26930,0
JNJ.US,5,20240529,175500,144.6133,144.7235,144.59,144.69,72018,0
JNJ.US,5,20240529,180000,144.67,144.68,144.45,144.5,84817,0
JNJ.US,5,20240529,180500,144.48,144.56,144.47,144.53,19519,0
JNJ.US,5,20240529,181000,144.52,144.62,144.52,144.5604,21683,0
JNJ.US,5,20240529,181500,144.5632,144.65,144.56,144.6,24444,0
JNJ.US,5,20240529,182000,144.61,144.6399,144.59,144.62,15783,0
JNJ.US,5,20240529,182500,144.62,144.705,144.59,144.6,29361,0
JNJ.US,5,20240529,183000,144.6,144.6599,144.5744,144.58,16231,0
JNJ.US,5,20240529,183500,144.56,144.605,144.54,144.59,27915,0
JNJ.US,5,20240529,184000,144.59,144.64,144.5583,144.62,37477,0
JNJ.US,5,20240529,184500,144.62,144.63,144.5801,144.6,17567,0
JNJ.US,5,20240529,185000,144.602,144.61,144.56,144.59,11786,0
JNJ.US,5,20240529,185500,144.59,144.65,144.58,144.62,20316,0
JNJ.US,5,20240529,190000,144.615,144.625,144.4879,144.505,24058,0
JNJ.US,5,20240529,190500,144.51,144.57,144.48,144.51,14912,0
JNJ.US,5,20240529,191000,144.515,144.54,144.5,144.525,20920,0
JNJ.US,5,20240529,191500,144.52,144.6333,144.505,144.61,22783,0
JNJ.US,5,20240529,192000,144.6199,144.7183,144.57,144.695,43216,0
JNJ.US,5,20240529,192500,144.695,144.76,144.64,144.745,23651,0
JNJ.US,5,20240529,193000,144.75,144.77,144.66,144.683,55216,0
JNJ.US,5,20240529,193500,144.6801,144.79,144.65,144.7164,46845,0
JNJ.US,5,20240529,194000,144.7,144.74,144.51,144.54,39282,0
JNJ.US,5,20240529,194500,144.54,144.64,144.52,144.57,24560,0
JNJ.US,5,20240529,195000,144.59,144.69,144.54,144.62,36704,0
JNJ.US,5,20240529,195500,144.63,144.63,144.56,144.56,31177,0
JNJ.US,5,20240529,200000,144.555,144.57,144.45,144.48,31223,0
JNJ.US,5,20240529,200500,144.49,144.5,144.38,144.4,29568,0
JNJ.US,5,20240529,201000,144.38,144.39,144.285,144.32,32253,0
JNJ.US,5,20240529,201500,144.326,144.326,144.26,144.3,26987,0
JNJ.US,5,20240529,202000,144.29,144.3,144.25,144.26,31742,0
JNJ.US,5,20240529,202500,144.26,144.36,144.23,144.26,34481,0
JNJ.US,5,20240529,203000,144.24,144.25,144.11,144.11,35727,0
JNJ.US,5,20240529,203500,144.11,144.12,144.03,144.05,31502,0
JNJ.US,5,20240529,204000,144.0309,144.12,144.021,144.1,45984,0
JNJ.US,5,20240529,204500,144.1,144.1095,144,144.0742,49693,0
JNJ.US,5,20240529,205000,144.09,144.14,144.06,144.11,46458,0
JNJ.US,5,20240529,205500,144.1,144.1259,144.06,144.08,40803,0
JNJ.US,5,20240529,210000,144.075,144.41,144.075,144.395,73512,0
JNJ.US,5,20240529,210500,144.4,144.43,144.19375,144.28,209844,0
JNJ.US,5,20240529,211000,144.2801,144.42,144.2203,144.38,46128,0
JNJ.US,5,20240529,211500,144.3774,144.39,144.255,144.34,44079,0
JNJ.US,5,20240529,212000,144.335,144.42,144.33,144.35,48782,0
JNJ.US,5,20240529,212500,144.36,144.43,144.3233,144.35,52485,0
JNJ.US,5,20240529,213000,144.36,144.4868,144.31,144.46,53508,0
JNJ.US,5,20240529,213500,144.455,144.55,144.4305,144.48,60698,0
JNJ.US,5,20240529,214000,144.5,144.5,144.4,144.49,57253,0
JNJ.US,5,20240529,214500,144.49,144.545,144.365,144.37,100034,0
JNJ.US,5,20240529,215000,144.36,144.41,144.22,144.34,155203,0
JNJ.US,5,20240529,215500,144.34,144.46,144.22,144.44,1716267,0
JNJ.US,5,20240530,153000,144.71,144.87,144.475,144.82,58000,0
JNJ.US,5,20240530,153500,144.83,144.83,144.065,144.2084,57415,0
JNJ.US,5,20240530,154000,144.22,144.45,144.2,144.22,18719,0
JNJ.US,5,20240530,154500,144.235,144.27,144.02,144.0899,35918,0
JNJ.US,5,20240530,155000,144.075,144.25,144.06,144.19,39432,0
JNJ.US,5,20240530,155500,144.195,144.3102,144.02,144.31,33936,0
JNJ.US,5,20240530,160000,144.29,144.73,144.29,144.71,49973,0
JNJ.US,5,20240530,160500,144.695,144.695,144.46,144.52,42177,0
JNJ.US,5,20240530,161000,144.51,144.75,144.43,144.43,65563,0
JNJ.US,5,20240530,161500,144.43,144.58,144.33,144.385,34079,0
JNJ.US,5,20240530,162000,144.38,144.5,144.32,144.45,29069,0
JNJ.US,5,20240530,162500,144.445,144.47,144.25,144.32,27625,0
JNJ.US,5,20240530,163000,144.325,144.86,144.31,144.86,92405,0
JNJ.US,5,20240530,163500,144.86,145.155,144.78,145.12,131836,0
JNJ.US,5,20240530,164000,145.16,145.18,144.93,144.9995,48712,0
JNJ.US,5,20240530,164500,145.01,145.09,144.76,144.81,34576,0
JNJ.US,5,20240530,165000,144.82,144.92,144.75,144.8,25602,0
JNJ.US,5,20240530,165500,144.81,144.81,144.66,144.755,26921,0
JNJ.US,5,20240530,170000,144.77,144.91,144.77,144.82,22991,0
JNJ.US,5,20240530,170500,144.82,144.87,144.78,144.85,14809,0
JNJ.US,5,20240530,171000,144.85,144.91,144.81,144.81,36640,0
JNJ.US,5,20240530,171500,144.82,145.0226,144.76,144.9943,53385,0
JNJ.US,5,20240530,172000,144.97,145.03,144.82,144.96,36018,0
JNJ.US,5,20240530,172500,144.96,145.02,144.91,144.95,37478,0
JNJ.US,5,20240530,173000,144.943,145.0643,144.93,145.0351,34450,0
JNJ.US,5,20240530,173500,145.0275,145.05,144.9909,145.0337,39166,0
JNJ.US,5,20240530,174000,145.035,145.18,145.035,145.17,36332,0
JNJ.US,5,20240530,174500,145.18,145.27,145.14,145.24,55185,0
JNJ.US,5,20240530,175000,145.245,145.26,145.16,145.19,62068,0
JNJ.US,5,20240530,175500,145.19,145.26,145.14,145.1675,19601,0
JNJ.US,5,20240530,180000,145.185,145.235,145.15,145.1769,25815,0
JNJ.US,5,20240530,180500,145.19,145.34,145.19,145.3195,30420,0
JNJ.US,5,20240530,181000,145.32,145.33,145.2,145.29,18692,0
JNJ.US,5,20240530,181500,145.295,145.35,145.235,145.295,12218,0
JNJ.US,5,20240530,182000,145.3025,145.34,145.235,145.33,44544,0
JNJ.US,5,20240530,182500,145.33,145.36,145.19,145.19,18674,0
JNJ.US,5,20240530,183000,145.18,145.21,145.13,145.18,45489,0
JNJ.US,5,20240530,183500,145.17,145.28,145.17,145.22,20356,0
JNJ.US,5,20240530,184000,145.22,145.29,145.17,145.29,30020,0
JNJ.US,5,20240530,184500,145.3,145.37,145.24,145.32,20025,0
JNJ.US,5,20240530,185000,145.32,145.35,145.24,145.2728,16752,0
JNJ.US,5,20240530,185500,145.29,145.37,145.2784,145.35,20473,0
JNJ.US,5,20240530,190000,145.34,145.41,145.33,145.34,15382,0
JNJ.US,5,20240530,190500,145.33,145.39,145.27,145.36,19407,0
JNJ.US,5,20240530,191000,145.36,145.4,145.26,145.26,38994,0
JNJ.US,5,20240530,191500,145.26,145.33,145.23,145.2427,24538,0
JNJ.US,5,20240530,192000,145.26,145.36,145.24,145.35,33605,0
JNJ.US,5,20240530,192500,145.33,145.39,145.315,145.37,21647,0
JNJ.US,5,20240530,193000,145.36,145.38,145.2401,145.26,41639,0
JNJ.US,5,20240530,193500,145.25,145.2942,145.18,145.1968,27226,0
JNJ.US,5,20240530,194000,145.195,145.288,145.17,145.27,27903,0
JNJ.US,5,20240530,194500,145.27,145.305,145.22,145.25,17729,0
JNJ.US,5,20240530,195000,145.25,145.31,145.24,145.27,21120,0
JNJ.US,5,20240530,195500,145.26,145.3416,145.24,145.31,13563,0
JNJ.US,5,20240530,200000,145.3,145.36,145.2901,145.325,11794,0
JNJ.US,5,20240530,200500,145.32,145.32,145.27,145.305,14890,0
JNJ.US,5,20240530,201000,145.31,145.38,145.26,145.26,26938,0
